Classifier,F-Measure
MultinomialNB,0.3888888888888889
Rbf SVC,0.33333333333333331
Sigmoid SVC,0.41666666666666669
BernoulliNB,0.3611111111111111
Random Forest,0.72222222222222221
Decision Tree,0.69444444444444442
Ensemble Classifier,0.88888888888888884
Adaboost,0.77777777777777779
SGD,0.8666666666666667
